name,recall_low,recall_high,recall
ann(3-gram),0.8607931110684535,0.8745367853315467,0.8676649482000001
ann(4-gram),0.8697705547463721,0.8831175440536281,0.8764440494000001
ann(3 and 4-gram),0.8758010941026783,0.8888696966973216,0.8823353953999999
naive bayes(3-gram),0.6880398561575138,0.7066728458424862,0.697356351
naive bayes(4-gram),0.6813044208400111,0.7000514571599888,0.690677939
naive bayes(3 and 4-gram),0.688102369166042,0.7067342788339581,0.697418324
SVM RBF OVO(3-gram),0.76146568505182,0.77853431494818,0.77
SVM Linear OVO(3-gram),0.8775059666824647,0.8904940333175353,0.884
SVM Linear OVR(3-gram),0.8754576363304091,0.8885423636695909,0.882
SVM RBF OVO(4-gram),0.76146568505182,0.77853431494818,0.77
SVM Linear OVO(4-gram),0.8795549146649626,0.8924450853350372,0.8859999999999999
SVM Linear OVR(4-gram),0.8754576363304091,0.8885423636695909,0.882
SVM RBF OVO(3 and 4-gram),0.76146568505182,0.77853431494818,0.77
SVM Linear OVO(3 and 4-gram),0.8775059666824647,0.8904940333175353,0.884
SVM Linear OVR(3 and 4-gram),0.8754576363304091,0.8885423636695909,0.882
